product_id,product_name,brand,type,price,avg_star,num_sold_time
72,Sữa Rửa Mặt 3W Clinic Hàn Quốc 100ml,3W CLINIC,dạng kem,25500.0,5.0,7900
73,Sữa Rửa Mặt Trà Xanh Innisfrees Hàn Quốc Green Tea Foam Cleanser 150ml Giúp Sạch Khuẩn & Giảm Dầu Mụn - MINT SHOP,Innisfree,dạng kem,120000.0,4.3,43
74,Sữa Rửa Mặt ĐÀO TƯƠI BIOAQUA,no_brand,no_type,14000.0,4.9,2000
75,[W.E Store] Sữa Rữa Mặt Dưỡng Da BIOAQUA PEACHEXTRACT ĐÀOTƯƠI 🍑 100ML Auth Nội Địa,BioAQUA,dạng lỏng,15150.0,4.9,245
76,"Sữa rửa mặt Compliment No Problem giảm viêm, ngừa mụn - 200ml",Compliment,no_type,88000.0,5.0,3600
77,Sữa rửa mặt gạo Rice Milk Civic 180ml Thái Lan,no_brand,no_type,22000.0,4.9,252
78,sữa rửa mặt trà xanh mẫu mới 150ml,no_brand,no_type,22000.0,4.9,582
79,Sữa Rửa Mặt amino acid Làm Sạch Mụn Đầu Đen Kiềm Dầu Dưỡng Ẩm Cải Thiện Làn Da Mịn Màng Không Làm Săn Chắc Da,no_brand,no_type,28000.0,4.9,187
80,sửa rửa mặt senana lấy bụi bẩn giúp da trắng sáng (sỉ buôn),no_brand,no_type,30000.0,4.5,8
81,Sữa Rửa Mặt Trà Xanh¹,no_brand,no_type,20999.5,4.8,2700
82,Cetaphil Sữa Rửa Mặt Gentle Skin Cleanser (mới),Cetaphil,no_type,345000.0,4.9,27700
83,Sữa rửa mặt dưỡng da tươi sáng và căng mọng Bio-essence Bio-Bird's Nest Collagen Cleanser 100g,Bio-essence,no_type,139000.0,4.9,2000
84,"Acnes Vitamin Cleanser - Kem rửa mặt Vitamin 50g, 100g",Acnes,no_type,41000.0,4.9,83
85,Gel Rửa Mặt Dành Cho Da Nhạy Cảm Simple Kind To Skin Refreshing Facial Wash Gel 150ml Hasaki Sản phẩm chính hãng,simple,no_type,99000.0,4.9,44200
86,SỬA RỬA MẶT NHUỴ HOA NGHỆ TÂY MẬT ONG,no_brand,no_type,15000.0,4.7,1100
87,"Sữa Rửa Mặt Ngừa Mụn Tràm Trà Nano Nghệ Trắng Da, Làm Sạch Dịu Nhẹ Cho Da Mụn Nhạy Cảm MILAGANICS 135ml (Chai)",Milaganics,ngừa mụn từ tràm trà nano nghệ,42000.0,4.9,8000
88,Sữa rửa mặt Kose Softymo Nhật Bản 220g,no_brand,no_type,74000.0,5.0,3900
89,Sữa rửa mặt dành cho da mụn innisfree Bija Trouble Facial Foam 150g,Innisfree,no_type,178500.0,4.9,18400
90,Sữa rửa mặt trà xanh INF 150ml mẫu mới,no_brand,no_type,24999.0,5.0,48
91,Sữa Rửa Mặt Hồng Sâm Đỏ Hàn Quốc My Gold,no_brand,no_type,23000.0,4.8,3200
