shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
699,False,False,False,1265,4.945815,4339,False,13,2970,25
700,True,False,False,514,4.946803,54494,False,78,20578,189
701,False,False,False,68,4.923989,6743,False,24,6707,86
702,False,False,False,141,4.947588,5951,False,23,6016,38
703,True,False,False,1796,4.961242,149526,False,108,48952,286
704,False,False,False,685,4.900136,22785,False,36,5751,91
705,False,False,False,337,4.943282,8380,False,23,4381,38
706,False,False,True,304,4.934662,126177,True,97,27424,299
707,False,False,False,45,4.916667,180,False,0,131,2
708,False,False,False,280,4.842339,1488,False,174,9601,248
709,True,False,False,130,4.919277,2058,False,11,2527,30
710,True,False,False,129,4.965316,14927,False,8,2609,10
711,False,False,False,177,4.923077,3993,False,13,2137,25
712,False,False,True,27,4.881517,58979,True,23,2877,60
713,False,False,False,187,4.822836,5072,False,54,3456,128
714,True,False,False,303,4.938578,12425,False,100,20708,190
715,True,False,False,2799,4.788165,13747,False,316,14285,548
716,True,True,False,478,4.955579,2700,False,13,3015,14
717,True,True,False,232,4.878695,3229,False,12,1629,45
718,False,False,False,148,4.963227,1183,False,3,1730,7
719,True,False,False,563,4.976064,35179,False,22,15413,49
720,False,False,False,406,4.735195,473,False,85,2272,88
721,True,False,False,654,4.904586,636514,False,8127,1142879,18111
722,False,False,False,52,4.965909,5609,False,1,476,2
723,False,False,False,65,4.81276,52677,False,13,695,23
724,False,False,False,26,4.879397,159,False,2,191,7
725,False,False,False,590,4.89867,27951,False,99,8729,117
726,True,False,False,152,4.936279,16490,False,37,12343,149
727,True,False,False,1623,4.949032,9378,False,8,2533,20
728,True,False,False,636,4.934803,7769,False,36,5216,42
729,True,True,False,146,4.9559,1554,False,21,2617,6
730,True,False,False,617,4.949977,34148,False,36,9609,81
731,True,False,False,342,4.964685,52861,False,6,3322,22
732,False,False,False,282,4.830441,1824,False,96,5397,152
733,False,False,False,48,4.992248,3116,False,0,138,0
734,True,False,False,1306,4.972422,114882,False,84,75950,308
735,False,False,True,39,4.904762,5896,True,0,23,0
737,True,False,False,655,4.940296,70111,False,223,53317,525
738,True,False,False,297,4.948468,56597,False,104,30567,271
739,False,False,False,242,4.967805,8227,False,10,3686,17
740,False,False,False,553,4.523397,1780,False,347,3989,204
741,True,False,False,579,4.940083,23254,False,14,4115,32
742,False,False,True,683,4.916644,46738,True,466,83284,1095
744,True,False,False,255,4.971675,7058,False,21,6439,21
745,True,False,False,639,4.918954,46606,False,66,13762,168
746,False,False,False,64,4.926295,1861,False,5,505,3
747,False,False,False,183,4.746637,28259,False,32,1172,31
748,True,False,False,1357,4.936714,8857,False,81,18635,210
749,False,False,False,1852,4.945808,118774,False,161,50855,411
750,True,False,False,98,4.9375,11239,False,1,330,2
962,True,False,False,62,4.91676,1283,False,6,897,9
751,True,True,False,124,4.954344,36321,False,73,20771,134
752,True,True,False,380,4.966079,76863,False,35,20368,108
753,False,False,False,1691,4.982697,14837,False,45,67973,172
754,True,False,False,182,4.967773,13063,False,15,10386,54
755,False,False,False,729,4.682025,4488,False,83,1666,71
756,False,False,False,35,4.884112,680,False,25,7757,37
757,False,False,True,1947,4.944005,193135,True,77,25640,232
758,True,False,False,135,4.976433,23092,False,20,9619,34
759,True,False,False,2397,4.913313,802,False,2,743,17
760,True,False,False,112,4.898866,14863,False,58,5585,94
761,False,False,True,40,4.921212,1115,True,2,327,5
762,True,False,False,369,4.955814,20510,False,41,21031,177
763,True,False,False,730,4.921981,8266,False,126,23103,339
764,False,False,False,60,4.955556,15569,False,0,186,1
765,True,False,False,122,4.965542,9806,False,30,13156,72
766,False,False,False,78,4.619048,48017,False,24,536,3
767,True,True,False,120,4.969583,5292,False,6,3225,13
768,True,False,False,36,4.953445,512,False,4,1615,17
769,True,False,False,605,4.964178,11398,False,11,6026,36
770,False,False,False,513,4.947195,23438,False,8,5465,61
771,True,True,False,691,4.97695,12090,False,27,21163,70
772,False,False,False,77,4.545685,48321,False,29,701,23
773,True,False,False,67,4.938884,4234,False,12,3429,37
774,True,True,False,1015,4.918316,41941,False,551,100983,1273
775,False,False,False,296,4.894182,15880,False,184,26434,454
776,False,False,False,35,5.0,29570,False,0,69,0
777,True,True,False,161,4.923716,38686,False,18,2720,26
778,True,False,False,211,4.926869,2713,False,33,6769,81
779,False,False,False,1587,4.784734,57344,False,150,13375,92
780,True,False,False,554,4.91037,7448,False,51,8613,137
781,False,False,True,129,4.947634,721354,True,721,172885,1321
782,True,False,False,696,4.955668,47606,False,29,10623,72
783,True,False,False,833,4.971381,35136,False,37,28869,126
784,False,False,False,551,4.93238,778,False,14,2398,26
785,True,False,False,145,4.947843,16758,False,91,37858,337
786,True,False,False,364,4.924717,5874,False,15,3701,43
787,False,False,True,154,4.91337,521707,True,1487,182107,2438
788,True,False,False,719,4.975737,33498,False,13,10973,33
789,True,False,False,119,4.932716,16281,False,3,2491,37
790,True,False,False,249,4.954674,14762,False,51,18645,142
791,False,False,False,233,4.919966,751,False,18,2330,35
792,False,False,False,96,4.828571,70,False,0,135,5
794,True,False,False,680,4.848607,3592,False,28,3051,93
795,True,False,False,975,4.961721,24486,False,17,7658,40
796,False,False,False,261,4.858428,6372,False,108,10088,253
797,True,False,False,68,4.933224,810,False,16,3279,37
798,False,False,False,184,4.804878,19975,False,1,39,2
799,False,False,False,83,4.929874,6268,False,92,14329,157
800,True,False,False,268,4.924556,5899,False,12,2206,17
801,True,False,False,87,4.94365,17761,False,51,13665,146
802,False,False,False,70,4.886188,2041,False,15,2216,16
803,False,False,False,1419,4.810247,1429,False,24,1286,40
804,False,False,False,210,4.954467,850,False,8,2390,18
805,True,False,False,521,4.922985,3821,False,25,3362,40
806,True,False,False,10,4.929593,884,False,1,936,16
807,False,False,False,845,4.928829,1386,False,20,4270,51
808,True,False,False,31,4.974138,75,False,0,115,1
1212,False,False,True,304,4.953053,18647,True,23,6619,51
809,True,False,False,1201,4.785879,5604,False,147,5178,156
810,False,False,True,208,4.904377,16515,True,41,5600,88
811,False,False,False,64,4.983562,28351,False,16,21388,54
812,False,False,True,187,4.953859,531045,True,544,296184,2261
813,True,True,False,459,4.964588,44780,False,33,17968,104
814,False,False,True,36,4.962682,68985,True,6,5048,45
815,True,False,False,131,4.97065,640,False,0,488,1
816,True,False,False,690,4.949934,25762,False,84,18857,126
817,False,False,False,642,4.931475,11765,False,22,4687,60
818,False,False,True,55,4.952014,24349,True,2,1866,16
819,True,False,False,1004,4.920475,26624,False,47,7107,101
820,False,False,False,272,4.78503,2961,False,77,3729,146
821,False,False,False,1181,4.853955,84760,False,2340,168460,3423
822,True,False,False,1173,4.870845,153835,False,228,20978,413
823,False,False,False,1130,4.961263,1696,False,1,755,5
824,False,False,False,2137,4.775615,2010,False,46,2295,82
825,False,False,False,1852,4.902747,444,False,15,1879,32
826,True,False,False,560,4.959229,10545,False,20,10378,80
827,False,False,True,146,4.953571,21970,True,3,1273,6
828,True,False,False,192,4.940469,34983,False,21,5243,43
829,False,False,False,604,4.958718,9191,False,10,5033,39
830,True,True,False,918,4.930336,6685,False,54,9258,108
831,True,False,False,100,4.868297,9166,False,88,6397,141
832,True,False,False,162,4.978566,6460,False,6,5338,18
833,True,True,False,767,4.928405,31100,False,217,43155,511
834,True,True,False,2466,4.949666,169474,False,282,99464,818
835,True,True,False,718,4.984693,21746,False,12,21935,51
836,False,False,False,132,4.686456,3288,False,19,507,31
837,True,False,False,482,4.914323,21196,False,134,16304,201
838,True,True,False,589,4.957927,31052,False,37,15403,90
839,False,False,True,32,4.953047,73667,True,8,6212,54
840,False,False,False,51,4.926316,8616,False,0,92,3
841,False,False,True,44,4.944276,21058,True,11,4626,42
842,False,False,True,131,4.939652,33392,True,12,3037,26
843,True,False,False,272,4.824365,1955,False,18,1293,39
844,True,False,False,864,4.871718,8803,False,53,3936,76
845,True,True,False,611,4.953794,9226,False,10,4130,35
846,True,False,False,841,4.966772,11040,False,11,6266,29
847,True,False,False,682,4.917021,3781,False,12,1412,19
848,False,False,False,248,4.918089,3477,False,4,580,8
849,False,False,False,85,4.836085,280,False,10,882,30
850,False,False,False,611,4.501164,1182,False,144,1732,102
851,False,False,True,33,4.956076,922,True,2,5256,7
852,True,False,False,958,4.883126,7243,False,197,16320,294
853,True,False,False,431,4.95832,661,False,6,3231,16
854,True,False,False,259,4.92953,655,False,2,587,11
855,True,False,False,12,4.822754,1788,False,20,1310,14
856,True,False,False,309,4.954201,4303,False,25,5659,28
857,True,True,False,339,4.953794,98468,False,87,30546,223
858,True,False,False,375,4.888028,13513,False,151,13433,238
859,True,True,False,173,4.995175,3250,False,0,845,1
860,True,True,False,2385,4.915273,48922,False,205,29663,411
861,False,False,False,34,4.666667,3,False,0,5,1
862,False,False,False,336,4.913507,2393,False,5,914,15
863,True,False,False,849,4.944136,53729,False,69,18436,163
864,True,False,False,75,4.920604,5400,False,30,4705,68
865,True,True,False,691,4.932222,13443,False,67,12066,133
